orig_index,Comment,clean_text,dup_near_group,near_duplicate_of
3369,im impressed with the thoroughness and professionalism exhibit by this team particularly their depth of knowledge focus integrity and attention to details make us very comfortable doing bitcoin investment with them,im impressed with the thoroughness and professionalism exhibit by this team particularly their depth of knowledge focus integrity and attention to details make us very comfortable doing bitcoin investment with them,107,3369
3370,im impressed with the thoroughness and professionalism exhibit by this team particularly their depth of knowledge focus integrity and attention to details make us very comfortable doing bitcoin investment with them,im impressed with the thoroughness and professionalism exhibit by this team particularly their depth of knowledge focus integrity and attention to details make us very comfortable doing bitcoin investment with them,107,3369
3371,this can be done in many ways as we know teachers are generally helpful considerate encouraging and forthcoming towards their students thats how he has been so helpful and amazing,this can be done in many ways as we know teachers are generally helpful considerate encouraging and forthcoming towards their students thats how he has been so helpful and amazing,108,3371
3372,this can be done in many ways as we know teachers are generally helpful considerate encouraging and forthcoming towards their students thats how he has been so helpful and amazing,this can be done in many ways as we know teachers are generally helpful considerate encouraging and forthcoming towards their students thats how he has been so helpful and amazing,108,3371
3385,“the best way to measure your investing success is not by whether you’re beating the market but by whether you’ve put in place a financial plan and a behavioral discipline that are likely to get you where you want to go”,“the best way to measure your investing success is not by whether you’re beating the market but by whether you’ve put in place a financial plan and a behavioral discipline that are likely to get you where you want to go”,85,2463
3386,when it comes to investing diversification is key that’s why i engage in sectors based on projected growth there’s no shortcut to getting rich but there are smart ways to go about it,when it comes to investing diversification is key that’s why i engage in sectors based on projected growth there’s no shortcut to getting rich but there are smart ways to go about it,104,3277
3395,if he buys the club his first job is to get rid and replace people in charge of recruitment at the club get people who are experienced and not just former players in that role,if he buys the club his first job is to get rid and replace people in charge of recruitment at the club get people who are experienced and not just former players in that role,109,3395
3400,if he buys the club his first job is to get rid and replace people in charge of recruitment at the club get people who are experienced and not just former players in that role,if he buys the club his first job is to get rid and replace people in charge of recruitment at the club get people who are experienced and not just former players in that role,109,3395
3409,we are already in the big crash inflation is a catastrophe this cpi report is a colossal failure to bring the housing market to a halt the fed will have to pull all the stops the unfortunate issue is that other markets are being decimatedif you want to stay green you have to rely on a lot of diversification currently up 14 and being careful still a better deal than leaving it in a savings or checking account yielding 01 percent interest,we are already in the big crash inflation is a catastrophe this cpi report is a colossal failure to bring the housing market to a halt the fed will have to pull all the stops the unfortunate issue is that other markets are being decimatedif you want to stay green you have to rely on a lot of diversification currently up 14 and being careful still a better deal than leaving it in a savings or checking account yielding 01 percent interest,105,3313
3412,fighting 85 inflation more like 35 with a 1 fed funds interest rate is like stopping a forest fire with a bucket of water folks prepare accordingly make investment in other not to depend on the government for funds,fighting 85 inflation more like 35 with a 1 fed funds interest rate is like stopping a forest fire with a bucket of water folks prepare accordingly make investment in other not to depend on the government for funds,57,1587
3425,starting early is the best way of getting ahead to build wealth investing remains a priority the stock market has plenty of opportunities to earn a decent payouts with the right skills and proper understanding of how the market works,starting early is the best way of getting ahead to build wealth investing remains a priority the stock market has plenty of opportunities to earn a decent payouts with the right skills and proper understanding of how the market works,110,3425
3456,𝗧𝗿𝗲𝗻𝗱𝗶𝗻𝗴 𝗮𝗱𝘂𝗹𝘁 𝗽𝗼𝗿𝗻 𝘃𝗶𝗱𝗲𝗼𝘀 𝗼𝗻𝗹𝘆 alles sehr schön aber zuerst zusammen die nummern 10 und 1 eine empronline brünette und eine andere blondine es wäre unfairh wenn ich 4 wählen würde,𝗧𝗿𝗲𝗻𝗱𝗶𝗻𝗴 𝗮𝗱𝘂𝗹𝘁 𝗽𝗼𝗿𝗻 𝘃𝗶𝗱𝗲𝗼𝘀 𝗼𝗻𝗹𝘆 alles sehr schön aber zuerst zusammen die nummern 10 und 1 eine empronline brünette und eine andere blondine es wäre unfairh wenn ich 4 wählen würde,111,3456
3479,best global bitcoin crypto exchange binance 600 bonus best us bitcoin crypto exchange binance us get a bitcoin reward credit card 15 back in btc buy bitcoin crypto with ira401k witrustcapital 100 bonus safeguard your bitcoin and crypto w ledger wallet protect yourself with nordvpn 69 off buy crypto domain names w unstoppable domains cryptosrus best crypto exchanges guide cryptosrus best crypto deals cryptosrus crypto academy cryptosrus merchandise nfts and articles join patreon for exclusive content and discord chat,best global bitcoin crypto exchange binance 600 bonus best us bitcoin crypto exchange binance us get a bitcoin reward credit card 15 back in btc buy bitcoin crypto with ira401k witrustcapital 100 bonus safeguard your bitcoin and crypto w ledger wallet protect yourself with nordvpn 69 off buy crypto domain names w unstoppable domains cryptosrus best crypto exchanges guide cryptosrus best crypto deals cryptosrus crypto academy cryptosrus merchandise nfts and articles join patreon for exclusive content and discord chat,112,3479
3488,the only thing i thing needs upgrade is the site navigation for newbies,the only thing i thing needs upgrade is the site navigation for newbies,113,3488
3506,starting early is the best way of getting ahead to build wealth investing remains a priority the stock market has plenty of opportunities to earn a decent payouts with the right skills and proper understanding of how the market works,starting early is the best way of getting ahead to build wealth investing remains a priority the stock market has plenty of opportunities to earn a decent payouts with the right skills and proper understanding of how the market works,110,3425
3544,best global bitcoin crypto exchange binance 600 bonus best us bitcoin crypto exchange binance us get a bitcoin reward credit card 15 back in btc buy bitcoin crypto with ira401k witrustcapital 100 bonus safeguard your bitcoin and crypto w ledger wallet protect yourself with nordvpn 69 off buy crypto domain names w unstoppable domains cryptosrus best crypto exchanges guide cryptosrus best crypto deals cryptosrus crypto academy cryptosrus merchandise nfts and articles join patreon for exclusive content and discord chat,best global bitcoin crypto exchange binance 600 bonus best us bitcoin crypto exchange binance us get a bitcoin reward credit card 15 back in btc buy bitcoin crypto with ira401k witrustcapital 100 bonus safeguard your bitcoin and crypto w ledger wallet protect yourself with nordvpn 69 off buy crypto domain names w unstoppable domains cryptosrus best crypto exchanges guide cryptosrus best crypto deals cryptosrus crypto academy cryptosrus merchandise nfts and articles join patreon for exclusive content and discord chat,112,3479
3547,excellent workimpeccable explanation and remarkable didactics thank you very much for contributing to the understanding of those of us who have little knowledge about crypto i really appreciate the content of this video but still i find it difficult to trade how do i go about it in bitcoin,excellent workimpeccable explanation and remarkable didactics thank you very much for contributing to the understanding of those of us who have little knowledge about crypto i really appreciate the content of this video but still i find it difficult to trade how do i go about it in bitcoin,114,3547
3549,the only thing i thing needs upgrade is the site navigation for newbies,the only thing i thing needs upgrade is the site navigation for newbies,113,3488
3550,the only thing i thing needs upgrade is the site navigation for newbies,the only thing i thing needs upgrade is the site navigation for newbies,113,3488
3566,the only thing i thing needs upgrade is the site navigation for newbies,the only thing i thing needs upgrade is the site navigation for newbies,113,3488
3576,your channel has truly changed my life ive been studying and researching about crypto for a while now and i got stuck at some point on the learning curve now i can say im truly improving my understanding of this whole new world and making great profit weekly all thanks to you ,your channel has truly changed my life ive been studying and researching about crypto for a while now and i got stuck at some point on the learning curve now i can say im truly improving my understanding of this whole new world and making great profit weekly all thanks to you,115,3576
3593,honestly i appreciate you and your content technical analysis is good but i find it truly baffling that major crypto youtubers just look mostly at pure ta and completely ignore the bigger narrative of why btc is pumpspumped and why the future outlook will be even rosier than it seems its kinda irresponsible to ignore the fact that each etf launch so far has caused a major dump at the peaks of btc we were already on shaky footing with historically low volume and almost pure whale pumpsnarrowly avoiding a longterm bear market more emphasis should be put into day tradiing as it is less affected by the unpredictable nature of the market i have made over 12 btc from day tradng with wtrade inspects insights and charts they been one step ahead of other analysis,honestly i appreciate you and your content technical analysis is good but i find it truly baffling that major crypto youtubers just look mostly at pure ta and completely ignore the bigger narrative of why btc is pumpspumped and why the future outlook will be even rosier than it seems its kinda irresponsible to ignore the fact that each etf launch so far has caused a major dump at the peaks of btc we were already on shaky footing with historically low volume and almost pure whale pumpsnarrowly avoiding a longterm bear market more emphasis should be put into day tradiing as it is less affected by the unpredictable nature of the market i have made over 12 btc from day tradng with wtrade inspects insights and charts they been one step ahead of other analysis,116,3593
3594,thank you for your videos mateits normal to see so many investors panic amid a worsening bearish market but it is also important to note that the market situation is nothing new in the crypto world several factors are driving negative sentiment in the stock and crypto markets right now including inflation a shaky stock market rising interest rates and recession fears as a result bitcoin has dropped significantly from its alltime high breaking below several key technical levels as a crypto investor the current situation might seem bleak however there are several tried and tested expertsuggested investment strategies that can help you accumulate the current crypto storm in few weeks of implementing trading with accurate signals directly from mr ryan donald i have been able to accumulate over 11 btc despite the current state of the market,thank you for your videos mateits normal to see so many investors panic amid a worsening bearish market but it is also important to note that the market situation is nothing new in the crypto world several factors are driving negative sentiment in the stock and crypto markets right now including inflation a shaky stock market rising interest rates and recession fears as a result bitcoin has dropped significantly from its alltime high breaking below several key technical levels as a crypto investor the current situation might seem bleak however there are several tried and tested expertsuggested investment strategies that can help you accumulate the current crypto storm in few weeks of implementing trading with accurate signals directly from mr ryan donald i have been able to accumulate over 11 btc despite the current state of the market,117,3594
3595,thank you for your videos matebut all thanks to wtrade inspects who taught me how to make trade and increased my crypto from 25 to 10btc now no one really knows what is going to happen in the market and i know you are only saying what you think will happen based on the past it is yours and my opinion so people should make their own investment choices based on their own research,thank you for your videos matebut all thanks to wtrade inspects who taught me how to make trade and increased my crypto from 25 to 10btc now no one really knows what is going to happen in the market and i know you are only saying what you think will happen based on the past it is yours and my opinion so people should make their own investment choices based on their own research,118,3595
3596,always good to hear your thoughtful and logical analysis that small rally was a fake out we are entering a crab market i dont care about bearish market trade a small percentage of your portfolio rather than going in and out every couple weeks trying to time the market trading went smooth for me implementing wtrade inspects daily trading signals and tips,always good to hear your thoughtful and logical analysis that small rally was a fake out we are entering a crab market i dont care about bearish market trade a small percentage of your portfolio rather than going in and out every couple weeks trying to time the market trading went smooth for me implementing wtrade inspects daily trading signals and tips,119,3596
3598,wonderful video i first got into btc back in 2016 and have been hodlingbuying sats at different price points since ive been through corrections before and will likely experience more over the future volatility is simply the price one needs to pay if they want to play i dont have any alts as im a bit of a btc maxi but that said if btc hasnt died before it surely wont do so now stick in there yes we are all feeling the pain but over the long run this will just be a blip this is how i see past corrections when i felt that i got in at a high back then i think it was less than 1000 and bouncing all over the place now when i look back all i see is regret for not having the courage in buying more at those times but if you believe btc has value then by all means buy these dips if you can afford to for those who got in at 60 or 70k and feeling the crunch hang in there btc is not a get rich quick scheme wait it out and you will see you will come away stronger i buy and just trade long term more than ever i have made over 95 btc with 24btc in just 5weeks from day trading with expert mr jack muller crypto in few weeks this is one of the best medium to backup your assets incase it goes bearish technical analysis is my second language you can reach mr jack muller on ͳeiєɠɾαmjackmuller cheers thank me later,wonderful video i first got into btc back in 2016 and have been hodlingbuying sats at different price points since ive been through corrections before and will likely experience more over the future volatility is simply the price one needs to pay if they want to play i dont have any alts as im a bit of a btc maxi but that said if btc hasnt died before it surely wont do so now stick in there yes we are all feeling the pain but over the long run this will just be a blip this is how i see past corrections when i felt that i got in at a high back then i think it was less than 1000 and bouncing all over the place now when i look back all i see is regret for not having the courage in buying more at those times but if you believe btc has value then by all means buy these dips if you can afford to for those who got in at 60 or 70k and feeling the crunch hang in there btc is not a get rich quick scheme wait it out and you will see you will come away stronger i buy and just trade long term more than ever i have made over 95 btc with 24btc in just 5weeks from day trading with expert mr jack muller crypto in few weeks this is one of the best medium to backup your assets incase it goes bearish technical analysis is my second language you can reach mr jack muller on ͳeiєɠɾαmjackmuller cheers thank me later,120,3598
3599,honestly i appreciate you and your content technical analysis is good but i find it truly baffling that major crypto youtubers just look mostly at pure ta and completely ignore the bigger narrative of why btc is pumpspumped and why the future outlook will be even rosier than it seems its kinda irresponsible to ignore the fact that each etf launch so far has caused a major dump at the peaks of btc we were already on shaky footing with historically low volume and almost pure whale pumpsnarrowly avoiding a longterm bear market more emphasis should be put into day tradiing as it is less affected by the unpredictable nature of the market i have made over 12 btc from day tradng with wtrade inspects insights and charts they been one step ahead of other analysis,honestly i appreciate you and your content technical analysis is good but i find it truly baffling that major crypto youtubers just look mostly at pure ta and completely ignore the bigger narrative of why btc is pumpspumped and why the future outlook will be even rosier than it seems its kinda irresponsible to ignore the fact that each etf launch so far has caused a major dump at the peaks of btc we were already on shaky footing with historically low volume and almost pure whale pumpsnarrowly avoiding a longterm bear market more emphasis should be put into day tradiing as it is less affected by the unpredictable nature of the market i have made over 12 btc from day tradng with wtrade inspects insights and charts they been one step ahead of other analysis,116,3593
3600,first got into btc back in 2016 and have been hodlingbuying assets at different price points since ive been through corrections before and will likely experience more over the future volatility is simply the price one needs to pay if they want to play i dont have any alts as im a bit of a btc maxi but that said if btc hasnt died before it surely wont do so now stick in there yes we are all feeling the pain but over the long run this will just be a blip this is how i see past corrections when i felt that i got in at a high back then i think it was less than 1000 and bouncing all over the place now when i look back all i see is regret for not having the courage in buying more at those times but if you believe btc has value then by all means buy the dips if you can afford to for those who got in at 60 or 70k and feeling the crunch hang in there btc is not a get rich quick scheme wait it out and you will see you will come away stronger i buy and just trade long term more than ever i have made over 11 btc with 31btc in just 5weeks from day trading with wtrade inspects in few weeks this is one of the best medium to backup your assets incase it goes bearish,first got into btc back in 2016 and have been hodlingbuying assets at different price points since ive been through corrections before and will likely experience more over the future volatility is simply the price one needs to pay if they want to play i dont have any alts as im a bit of a btc maxi but that said if btc hasnt died before it surely wont do so now stick in there yes we are all feeling the pain but over the long run this will just be a blip this is how i see past corrections when i felt that i got in at a high back then i think it was less than 1000 and bouncing all over the place now when i look back all i see is regret for not having the courage in buying more at those times but if you believe btc has value then by all means buy the dips if you can afford to for those who got in at 60 or 70k and feeling the crunch hang in there btc is not a get rich quick scheme wait it out and you will see you will come away stronger i buy and just trade long term more than ever i have made over 11 btc with 31btc in just 5weeks from day trading with wtrade inspects in few weeks this is one of the best medium to backup your assets incase it goes bearish,121,3600
3601,thank you for your videos matebut all thanks to wtrade inspects who taught me how to make trade and increased my crypto from 25 to 10btc now no one really knows what is going to happen in the market and i know you are only saying what you think will happen based on the past it is yours and my opinion so people should make their own investment choices based on their own research,thank you for your videos matebut all thanks to wtrade inspects who taught me how to make trade and increased my crypto from 25 to 10btc now no one really knows what is going to happen in the market and i know you are only saying what you think will happen based on the past it is yours and my opinion so people should make their own investment choices based on their own research,118,3595
3602,i think the difference in this instance is that analyst’s are stating that we are heading for a depression so this changes everything in the grand scheme of things when talking about possible new ath’s great points in your video i agree and suspect it may be too convenient to think btc is perfectly correlated to spnasdaq and altcoins to btc refreshing to hear reasonable market analysis that takes a bigger picture perspective so many people are squabbling over timing the exact bottom that short term thinking is such a rookie mistake by dollar cost averaging and holding for several years it takes the guess work out next bull run it wont be a huge deal if we bought at 21k or 17k what will matter is that we are accumulating while the price is relatively low im really holding on for this possible low point reentry i screwed up some time back i need this lower point to get back in ive small cash on the sideline i dont like that but i refuse to fomo in our younger investors are scared theyre concerned about what they should do because a lot of them have not been through this before my advise to them is this go all out into trading trading is where the bucks are been made i see the stock market housing values going down and crypto going up traditional markets are getting recked the new economy is crypto not fiat people want truth not corruption contracts not monetary easing venturing into crypto trading investment has been a turning point for me with the help and tutoring from my investment advisor mrs robin moore with her guides and trade signal i use in trading i have moved from having 58 btc to atop 173 btc in a short period of time invest today and trade your crypto assets with the best tutor trader ͳeiєɠɾαm moorerobin or whatsapp 12132627458 for more info or mentorship on how to invest trade and earn with her top notch trade signal,i think the difference in this instance is that analyst’s are stating that we are heading for a depression so this changes everything in the grand scheme of things when talking about possible new ath’s great points in your video i agree and suspect it may be too convenient to think btc is perfectly correlated to spnasdaq and altcoins to btc refreshing to hear reasonable market analysis that takes a bigger picture perspective so many people are squabbling over timing the exact bottom that short term thinking is such a rookie mistake by dollar cost averaging and holding for several years it takes the guess work out next bull run it wont be a huge deal if we bought at 21k or 17k what will matter is that we are accumulating while the price is relatively low im really holding on for this possible low point reentry i screwed up some time back i need this lower point to get back in ive small cash on the sideline i dont like that but i refuse to fomo in our younger investors are scared theyre concerned about what they should do because a lot of them have not been through this before my advise to them is this go all out into trading trading is where the bucks are been made i see the stock market housing values going down and crypto going up traditional markets are getting recked the new economy is crypto not fiat people want truth not corruption contracts not monetary easing venturing into crypto trading investment has been a turning point for me with the help and tutoring from my investment advisor mrs robin moore with her guides and trade signal i use in trading i have moved from having 58 btc to atop 173 btc in a short period of time invest today and trade your crypto assets with the best tutor trader ͳeiєɠɾαm moorerobin or whatsapp 12132627458 for more info or mentorship on how to invest trade and earn with her top notch trade signal,122,3602
3604,it makes sense btc and crypto is off helping to regulate rather than pretend it wont ever happen the big institutions getting in is the catalyst that will launch us into the stratosphere most people dont like change but after the change is made they grow used to it and it becomes a non issue usually because their fears never materialize the projects that initiated the process of regulation have not been ruined they got involved in setting guidelines and helping the regulators understand the crypto space i’d get involved more knowing that i have made over 12 btc from daytrade with axel william crypto in few weeks,it makes sense btc and crypto is off helping to regulate rather than pretend it wont ever happen the big institutions getting in is the catalyst that will launch us into the stratosphere most people dont like change but after the change is made they grow used to it and it becomes a non issue usually because their fears never materialize the projects that initiated the process of regulation have not been ruined they got involved in setting guidelines and helping the regulators understand the crypto space i’d get involved more knowing that i have made over 12 btc from daytrade with axel william crypto in few weeks,87,2519
3607,always good to hear your thoughtful and logical analysis do yourself and family a favor and stop stressing the day to day headlines trade a small percentage of your portfolio rather than going in and out every week trying to time the market  trading went smooth for me thanks to bobby lucas for his amazing skills for helping me to earn 9 btc from 3 btc in weeks through trading chart,always good to hear your thoughtful and logical analysis do yourself and family a favor and stop stressing the day to day headlines trade a small percentage of your portfolio rather than going in and out every week trying to time the market trading went smooth for me thanks to bobby lucas for his amazing skills for helping me to earn 9 btc from 3 btc in weeks through trading chart,123,3607
3610,awesome show as always,awesome show as always,124,3610
3611,awesome show as always,awesome show as always,124,3610
3620,always good to hear your thoughtful and logical analysis do yourself and family a favor and stop stressing the day to day headlines trade a small percentage of your portfolio rather than going in and out every week trying to time the market  trading went smooth for me thanks to bobby lucas for his amazing skills for helping me to earn 9 btc from 3 btc in weeks through trading chart,always good to hear your thoughtful and logical analysis do yourself and family a favor and stop stressing the day to day headlines trade a small percentage of your portfolio rather than going in and out every week trying to time the market trading went smooth for me thanks to bobby lucas for his amazing skills for helping me to earn 9 btc from 3 btc in weeks through trading chart,123,3607
3623,im glad i got into crypto when i did because it’s been a turning point for me financiallybeen my best decision so far,im glad i got into crypto when i did because it’s been a turning point for me financiallybeen my best decision so far,101,3177
3628,crypto is off helping to regulate rather than pretend it wont ever happen the big institutions getting in is the catalyst that will launch us into the stratosphere most people dont like change but after the change is made they grow used to it and it becomes a non issue usually because their fears never materialize and benefits they were unaware with before turn out to be far more beneficial few if any rug pulls the projects that initiated the process of regulation have not been ruined they got involved in setting guidelines and helping the regulators understand the crypto space i’d get involved more knowing that i have made over 16 btc from daytrade with axel william crypto in few weeks,crypto is off helping to regulate rather than pretend it wont ever happen the big institutions getting in is the catalyst that will launch us into the stratosphere most people dont like change but after the change is made they grow used to it and it becomes a non issue usually because their fears never materialize and benefits they were unaware with before turn out to be far more beneficial few if any rug pulls the projects that initiated the process of regulation have not been ruined they got involved in setting guidelines and helping the regulators understand the crypto space i’d get involved more knowing that i have made over 16 btc from daytrade with axel william crypto in few weeks,125,3628
3640,it’s two months now that have been dealing with the above name it’s a great achievement so far with their teams…,it’s two months now that have been dealing with the above name it’s a great achievement so far with their teams…,126,3640
3641,it’s two months now that have been dealing with the above name it’s a great achievement so far with their teams…,it’s two months now that have been dealing with the above name it’s a great achievement so far with their teams…,126,3640
3642,thanks for watching  i have a life changing investment for all of you all,thanks for watching i have a life changing investment for all of you all,127,3642
3643,thanks for watching  i have a life changing investment for all of you all,thanks for watching i have a life changing investment for all of you all,127,3642
3657,your help was unexpected it turned out to be timely such a divine intervention i cant thank you enough,your help was unexpected it turned out to be timely such a divine intervention i cant thank you enough,128,3657
3658,your help was unexpected it turned out to be timely such a divine intervention i cant thank you enough,your help was unexpected it turned out to be timely such a divine intervention i cant thank you enough,128,3657
3660,yeah ive been able to withdraw my initial investment and some profits from coswift arbitrage i still think this is still unreal though this wont last long term but at this point im making 3236 a daily if this doest go well ill be ok,yeah ive been able to withdraw my initial investment and some profits from coswift arbitrage i still think this is still unreal though this wont last long term but at this point im making 3236 a daily if this doest go well ill be ok,129,3660
3662,what’s the best choice investing in real estates or crypto because i have been thinking crypto seems to be one of the most promising at the moment,what’s the best choice investing in real estates or crypto because i have been thinking crypto seems to be one of the most promising at the moment,130,3662
3663,yeah ive been able to withdraw my initial investment and some profits from coswift arbitrage i still think this is still unreal though this wont last long term but at this point im making 3236 a daily if this doest go well ill be ok,yeah ive been able to withdraw my initial investment and some profits from coswift arbitrage i still think this is still unreal though this wont last long term but at this point im making 3236 a daily if this doest go well ill be ok,129,3660
3693,bybit 4000 bonus global binance 600 bonus nonusa mexc 4000 bonus usaglobal moneyzg crypto course scammers are in the comments i will never contact you,bybit 4000 bonus global binance 600 bonus nonusa mexc 4000 bonus usaglobal moneyzg crypto course scammers are in the comments i will never contact you,131,3693
3694,crypto and other markets have some rough roads ahead but as albert einstein once said “life is like riding a bicycle to keep your balance you must keep moving” we will get through it,crypto and other markets have some rough roads ahead but as albert einstein once said “life is like riding a bicycle to keep your balance you must keep moving” we will get through it,132,3694
3697,excellent workimpeccable explanation and remarkable didactics thank you very much for contributing to the understanding of those of us who have little knowledge about crypto i really appreciate the content of this video but still i find it difficult to trade how do i go about it in bitcoin,excellent workimpeccable explanation and remarkable didactics thank you very much for contributing to the understanding of those of us who have little knowledge about crypto i really appreciate the content of this video but still i find it difficult to trade how do i go about it in bitcoin,114,3547
3698,first got into btc back in 2016 and have been hodlingbuying assets at different price points since ive been through corrections before and will likely experience more over the future volatility is simply the price one needs to pay if they want to play i dont have any alts as im a bit of a btc maxi but that said if btc hasnt died before it surely wont do so now stick in there yes we are all feeling the pain but over the long run this will just be a blip this is how i see past corrections when i felt that i got in at a high back then i think it was less than 1000 and bouncing all over the place now when i look back all i see is regret for not having the courage in buying more at those times but if you believe btc has value then by all means buy the dips if you can afford to for those who got in at 60 or 70k and feeling the crunch hang in there btc is not a get rich quick scheme wait it out and you will see you will come away stronger i buy and just trade long term more than ever i have made over 11 btc with 31btc in just 5weeks from day trading with wtrade inspects in few weeks this is one of the best medium to backup your assets incase it goes bearish,first got into btc back in 2016 and have been hodlingbuying assets at different price points since ive been through corrections before and will likely experience more over the future volatility is simply the price one needs to pay if they want to play i dont have any alts as im a bit of a btc maxi but that said if btc hasnt died before it surely wont do so now stick in there yes we are all feeling the pain but over the long run this will just be a blip this is how i see past corrections when i felt that i got in at a high back then i think it was less than 1000 and bouncing all over the place now when i look back all i see is regret for not having the courage in buying more at those times but if you believe btc has value then by all means buy the dips if you can afford to for those who got in at 60 or 70k and feeling the crunch hang in there btc is not a get rich quick scheme wait it out and you will see you will come away stronger i buy and just trade long term more than ever i have made over 11 btc with 31btc in just 5weeks from day trading with wtrade inspects in few weeks this is one of the best medium to backup your assets incase it goes bearish,121,3600
3703,best global bitcoin crypto exchange binance 600 bonus best us bitcoin crypto exchange binance us get a bitcoin reward credit card 15 back in btc buy bitcoin crypto with ira401k witrustcapital 100 bonus safeguard your bitcoin and crypto w ledger wallet protect yourself with nordvpn 69 off buy crypto domain names w unstoppable domains cryptosrus best crypto exchanges guide cryptosrus best crypto deals cryptosrus crypto academy cryptosrus merchandise nfts and articles join patreon for exclusive content and discord chat,best global bitcoin crypto exchange binance 600 bonus best us bitcoin crypto exchange binance us get a bitcoin reward credit card 15 back in btc buy bitcoin crypto with ira401k witrustcapital 100 bonus safeguard your bitcoin and crypto w ledger wallet protect yourself with nordvpn 69 off buy crypto domain names w unstoppable domains cryptosrus best crypto exchanges guide cryptosrus best crypto deals cryptosrus crypto academy cryptosrus merchandise nfts and articles join patreon for exclusive content and discord chat,112,3479
3707,these are really tough times for the whole market most of the top coins are down but the token fans are still growing psg rbif sat arsand these are all very potential project that can be held for a long time to wc,these are really tough times for the whole market most of the top coins are down but the token fans are still growing psg rbif sat arsand these are all very potential project that can be held for a long time to wc,133,3707
3723,honestly i appreciate you and your content technical analysis is good but i find it truly baffling that major crypto youtubers just look mostly at pure ta and completely ignore the bigger narrative of why btc is pumpspumped and why the future outlook will be even rosier than it seems its kinda irresponsible to ignore the fact that each etf launch so far has caused a major dump at the peaks of btc we were already on shaky footing with historically low volume and almost pure whale pumpsnarrowly avoiding a longterm bear market more emphasis should be put into day tradiing as it is less affected by the unpredictable nature of the market i have made over 12 btc from day tradng with wtrade inspects insights and charts they been one step ahead of other analysis,honestly i appreciate you and your content technical analysis is good but i find it truly baffling that major crypto youtubers just look mostly at pure ta and completely ignore the bigger narrative of why btc is pumpspumped and why the future outlook will be even rosier than it seems its kinda irresponsible to ignore the fact that each etf launch so far has caused a major dump at the peaks of btc we were already on shaky footing with historically low volume and almost pure whale pumpsnarrowly avoiding a longterm bear market more emphasis should be put into day tradiing as it is less affected by the unpredictable nature of the market i have made over 12 btc from day tradng with wtrade inspects insights and charts they been one step ahead of other analysis,116,3593
3734,i like your administration man i got my house with the assets of this wire i’m glad l settled on the correct decision via the name above credit to you sir,i like your administration man i got my house with the assets of this wire i’m glad l settled on the correct decision via the name above credit to you sir,134,3734
3735,i like your administration man i got my house with the assets of this wire i’m glad l settled on the correct decision via the name above credit to you sir,i like your administration man i got my house with the assets of this wire i’m glad l settled on the correct decision via the name above credit to you sir,134,3734
3737,yeah ive been able to withdraw my initial investment and some profits from coswift arbitrage i still think this is still unreal though this wont last long term but at this point im making 3236 a daily if this doest go well ill be ok,yeah ive been able to withdraw my initial investment and some profits from coswift arbitrage i still think this is still unreal though this wont last long term but at this point im making 3236 a daily if this doest go well ill be ok,129,3660
3739,what’s the best choice investing in real estates or crypto because i have been thinking crypto seems to be one of the most promising at the moment,what’s the best choice investing in real estates or crypto because i have been thinking crypto seems to be one of the most promising at the moment,130,3662
3740,great platform for auto crypto arbitrage but i think the speed in which btc is deposited to the coswift account can be increase,great platform for auto crypto arbitrage but i think the speed in which btc is deposited to the coswift account can be increase,135,3740
3785,best global bitcoin crypto exchange binance 600 bonus best us bitcoin crypto exchange binance us get a bitcoin reward credit card 15 back in btc buy bitcoin crypto with ira401k witrustcapital 100 bonus safeguard your bitcoin and crypto w ledger wallet protect yourself with nordvpn 69 off buy crypto domain names w unstoppable domains cryptosrus best crypto exchanges guide cryptosrus best crypto deals cryptosrus crypto academy cryptosrus merchandise nfts and articles join patreon for exclusive content and discord chat,best global bitcoin crypto exchange binance 600 bonus best us bitcoin crypto exchange binance us get a bitcoin reward credit card 15 back in btc buy bitcoin crypto with ira401k witrustcapital 100 bonus safeguard your bitcoin and crypto w ledger wallet protect yourself with nordvpn 69 off buy crypto domain names w unstoppable domains cryptosrus best crypto exchanges guide cryptosrus best crypto deals cryptosrus crypto academy cryptosrus merchandise nfts and articles join patreon for exclusive content and discord chat,112,3479
3787,crypto and other markets have some rough roads ahead but as albert einstein once said “life is like riding a bicycle to keep your balance you must keep moving” we will get through it,crypto and other markets have some rough roads ahead but as albert einstein once said “life is like riding a bicycle to keep your balance you must keep moving” we will get through it,132,3694
3788,your channel has truly changed my life ive been studying and researching about crypto for a while now and i got stuck at some point on the learning curve now i can say im truly improving my understanding of this whole new world and making great profit weekly all thanks to you,your channel has truly changed my life ive been studying and researching about crypto for a while now and i got stuck at some point on the learning curve now i can say im truly improving my understanding of this whole new world and making great profit weekly all thanks to you,115,3576
3827,crypto and other markets have some rough roads ahead but as albert einstein once said “life is like riding a bicycle to keep your balance you must keep moving” we will get through it,crypto and other markets have some rough roads ahead but as albert einstein once said “life is like riding a bicycle to keep your balance you must keep moving” we will get through it,132,3694
